City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,lamar,33.6668,-95.5836,16.99,35,0,3.09,US,1680338960
344,troitskoye,52.9821,84.6757,-5.68,58,100,3.46,RU,1680338960
345,alyangula,-13.8483,136.4192,28.77,66,9,3.42,AU,1680338960
346,port-gentil,-0.7193,8.7815,26.98,89,40,2.06,GA,1680338961
347,saldanha,-33.0117,17.9442,25.03,59,0,4.39,ZA,1680338383
348,luganville,-15.5333,167.1667,26.85,85,91,1.9,VU,1680338961
349,xingtai,37.0631,114.4942,24.21,31,26,5.82,CN,1680338962
350,coihaique,-45.5752,-72.0662,5.34,93,100,0.51,CL,1680338888
351,jalalabad,34.4265,70.4515,21.95,49,26,1.95,AF,1680338962
352,talnakh,69.4865,88.3972,-11.55,92,100,6.91,RU,1680338963
353,tottori,35.5,134.2333,14.04,77,75,10.29,JP,1680338963
354,donji vakuf,44.1436,17.4,8.24,90,100,3.03,BA,1680338963
355,smidovich,48.6,133.8167,10.7,31,5,2.68,RU,1680338964
356,sola,-13.8833,167.55,28.45,74,41,4.01,VU,1680338964
357,timizart,36.8,4.2667,18.97,53,79,4.81,DZ,1680338964
358,cairns,-16.9167,145.7667,26.97,83,40,1.03,AU,1680338925
359,cooma,-36.2333,149.1333,8.86,67,28,1.81,AU,1680338965
360,comodoro rivadavia,-45.8667,-67.5,15.92,25,0,4.63,AR,1680338965
361,lavrentiya,65.5833,-171.0,-11.21,94,99,1.34,RU,1680338965
362,bisira,8.5196,-81.7115,14.81,94,97,2.97,PA,1680338966
363,luderitz,-26.6481,15.1594,19.99,66,7,2.06,NA,1680338942
